Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,AssetPerMember,ExpensesToNetAssetsRatio,Liquidity Ratio,Overall Risk Score,ReturnOn Investment,UnremmittedContributions/Total Assets,Compliance toTable G,Inflation,Interest_rates,Exchange_rates
10,Active,Defined Benefit,,,,8,1443," 8,534,542,539.00 "," 5,914,443.89 ",12%,792%,#N/A,91%,0%,4,#N/A,#N/A,1262.07
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2016,0,4670," 7,666,057,472.00 "," 1,641,554.06 ",1%,25%,#N/A,4%,0%,0,7%,10%,101.78
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2017,0,5693," 9,009,381,267.00 "," 1,582,536.67 ",1%,19%,#N/A,10%,0%,0,5%,10%,103.37
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2018,0,6485," 9,999,829,975.00 "," 1,541,993.83 ",1%,24%,#N/A,5%,10%,0,6%,9%,101.88
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2019,0,5488," 11,037,531,989.00 "," 2,011,212.10 ",1%,29%,#N/A,6%,15%,0,5%,9%,102.55
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2020,0,5513," 11,794,450,029.00 "," 2,139,388.72 ",1%,34%,#N/A,3%,20%,0,5%,7%,109.51
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2021,5,5704," 12,690,985,503.00 "," 2,224,927.33 ",1%,36%,4.31,5%,25%,5,6%,7%,111.93
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2022,5,5609," 13,402,325,355.00 "," 2,389,432.23 ",1%,44%,4.09,3%,27%,5,9%,9%,121.95
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2023,5,5425," 13,973,410,376.18 "," 2,575,743.85 ",1%,50%,4.19,4%,30%,5,7%,13%,151.77
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2024,5,5551," 15,885,481,182.00 "," 2,861,733.23 ",1%,27%,3.98,12%,30%,5,#N/A,#N/A,151.77
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,16," 3,380,503.00 "," 211,281.44 ",1%,92%,#N/A,10%,0%,0,7%,10%,101.78
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,34000," 27,926,110,420.41 "," 821,356.19 ",6%,41%,#N/A,7%,0%,0,7%,10%,101.78
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,18," 5,727,610.00 "," 318,200.56 ",0%,43%,#N/A,8%,0%,0,6%,9%,101.88
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,18," 5,591,180.00 "," 310,621.11 ",1%,110%,#N/A,10%,0%,0,5%,9%,102.55
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,15," 2,965,001.00 "," 197,666.73 ",1%,941%,#N/A,10%,0%,0,5%,7%,109.51
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,15," 3,202,266.00 "," 213,484.40 ",1%,14%,3.44,9%,0%,5,6%,7%,111.93
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,15," 4,392,780.00 "," 292,852.00 ",1%,11%,3.44,5%,0%,5,9%,9%,121.95
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,15," 4,107,411.00 "," 273,827.40 ",1%,190%,3.24,8%,0%,5,7%,13%,151.77
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,491," 3,912,528.85 "," 7,968.49 ",1%,158%,4,10%,29%,1,#N/A,#N/A,151.77
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 18,225,700.00 ", -   ,1%,5%,#N/A,10%,0%,0,7%,10%,101.78
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0, -   , -   ,0%,0%,#N/A,#DIV/0!,0%,0,7%,13%,103.78
