,Commercial Corporate Bonds,Demand Deposits,Government Securities,Guaranteed Funds,Immovable Property,Offshore Investments,Property Unit Trusts,Quoted Equity,Unquoted Equity,portfolio_mean,portfolio_sharpe_ratios
MV_Weight,0.1673209462149426,0.0408296214858664,0.4506893575804349,0.157220185005154,0.0,0.0,0.0960032700304582,0.087936619683144,0.0,0.09483896620518452,4.6456946013387785
kmeans_cluster_4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.016618449009954666,1.7028089740829673
kmeans_cluster_0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12223577426817232,4.352926872271282
PSO_Weight,0.19020482867096972,0.009474803546774338,0.23597574198333315,0.1320029383217762,0.061226272009872795,0.25197953185668215,0.07177336212613791,0.023243855504948216,0.024118665979505426,0.06642495305099966,3.130419488518663
svm_Weight_cluster_1,0.16207800244944662,0.0,0.44738926478709723,0.1694910134915339,0.0,0.0,0.09727946033032166,0.1237622589416007,0.0,0.09225349269943146,4.607663348112222
kmeans_cluster_3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06731717437528835,1.9156322561201127
svm_Weight_cluster_2,0.0,0.0,0.0,0.0,0.5024885379103571,0.0795881401484131,0.0,0.0,0.4179233219412297,0.008992204658055185,0.9878232253386175
kmeans_cluster_5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11160214542999382,7.111582072912396
GA_Weight,0.15748801090497838,0.036153375974936085,0.27917910553219805,0.11696110672774881,0.13517365146863095,0.1763951734862507,0.08395421516337319,0.012771472810157392,0.0019238879317263853,0.06997825636002176,3.410613870872257
kmeans_cluster_1,0.0,0.0,0.0,0.0,0.0,0.0,0.22377933479795023,0.7762206652020498,0.0,0.05015052429761724,2.044639613384443
kmeans_cluster_2,0.0,0.0,0.0,0.0,0.0,0.2969555020199485,0.0,0.0,0.7030444979800516,0.001822368990651849,0.2892774039145309
